[2168.34] 04.02   Virement Sociéte EDIMARK                             0240205                                         2168,34  05.02.25
[69.95] 05.02   Carte                                                 0025612                    69,95                            05.02.25
[43.88] 05.02   Carte                                                 9917628                    43,88                            05.02.25
[20.0] 05.02   Carte                                                 3036746                    20,00                            05.02.25
[17.98] 05.02   Carte                                                 3036383                    17,98                            05.02.25
[64.9] 05.02   Prelevement echeance 022 de votre                                               64,90                            05.02.25
[86.4] 05.02   Prélèvement SEPA                                     2385861                    86,40                            05.02.25
[23.0] 06.02   Carte                                                 0000069                    23,00                            06.02.25
[22.0] 06.02   Carte                                                 0000077                    22,00                            06.02.25
[3.0] 06.02    Frais CB paiement en trois fois  i                   0216832                     3,00                            06.02.25
[14.04] 07.02   Carte                                                 3036180                    14,04                            07.02.25
[10.17] 07.02   Carte                                                 9200315                    10,17                            07.02.25
[69.95] 07.02   Facture CB crédit                                     0024113                                             69,95   07.02.25
[24.96] 07.02   Prélèvement SEPA                                     2388187                    24,96                            07.02.25
[8.12] 08.02   Carte                                                 1610575                     8,12                            08.02.25
[5.7] 08.02   Carte                                                 1810682                     5,70                            08.02.25
[549.99] 08.02   Carte                                                 3171037                  549,99                            08.02.24
[423.5] 09.02   Virement instantané reçu                              0240209                                          423,50  09.02.24
[11.0] 09.02   Carte                                                 0000137                    11,00                            09.02.25
[3.0] 09.02   Carte                                                 0018002                     3,00                            09.02.25
[23.0] 09.02   Facture CB crédit                                     0000018                                             23,00   09.02.25
[12.0] 09.02   Virement instantané émis                              e930577                    12,00                            09.02.25
[2400.0] 12.02   Virement SEPA reçu                                   9010214                                           2.400,00  12.02.25
[2500.0] 12.02   Virement                                             9935325                                           2.500,00   30.01.25
[60.0] 12.02   Carte                                                 1197324                    60,00                            12.02.25
[40.0] 12.02   Carte                                                 8819092                    40,00                            12.02.25
[14.82] 12.02   Carte                                                 3040797                    14,82                            12.02.25
[11.0] 12.02   Carte                                                 0000120                    11,00                            12.02.25
[11.0] 12.02   Carte                                                 1813642                    11,00                            12.02.25
[10.99] 12.02   Carte                                                 1011689                    10,99                            12.02.25
[10.8] 12.02   Carte                                                 3310462                    10,80                            12.02.25
[9.99] 12.02   Carte                                                 1007406                     9,99                            12.02.25
[9.25] 12.02   Carte                                                 3040764                     9,25                            12.02.25
[4.3] 12.02   Carte                                                 1814152                     4,30                            12.02.25
[2.26] 12.02   Carte                                                 3039169                     2,26                            12.02.25
[2500.0] 12.02   Virement SEPA émis                                   9001179                 2.500,00                            12.02.25
[3.5] 13.02   Carte                                                 0013622                     3,50                            13.02.25
[85.0] 13.02   Virement instantané émis                              d27cb82                    85,00                            13.02.25
[16.0] 14.02   Carte                                                 3044235                    16,00                            14.02.25
[10.0] 14.02   Carte                                                 0000154                    10,00                            14.02.25
[7.95] 15.02   Carte                                                 8810342                     7,95                            15.02.25
[14.7] 28.02   Carte                                                 3057372                    14,70                            28.02.25
[500.0] 28.02   Virement SEPA émis                                   9011234                  500,00                            28.02.25
[20.0] 28.02   Virement instantané émis                              0939de6                    20,00                            28.02.25
[701.0] 28.02   Virement instantané émis                                 bb1ef37                  701,00                            28.02.25
[1.0, 36.96] 28.02   Commission virement instantané émis                    bb1ef37                     1,00                            28.02.25 28.02   Prélèvement SEPA                        
[30.18] 28.02   Carte                                                 3058758                    30,18                            28.02.25
[57.0] 01.03   Carte                                                 6413583                    57,00                            01.03.25
